date,time,datetime,day,time_of_day,hour,payment_method,card_no.,amount,coffee_name
2024-03-01,10:15:50.520000,2024-03-01 10:15:50.520,Friday,Morning,10,card,ANON-0000-0000-0001,38.7,Latte
2024-03-01,12:19:22.539000,2024-03-01 12:19:22.539,Friday,Afternoon,12,card,ANON-0000-0000-0002,38.7,Hot Chocolate
2024-03-01,12:20:18.089000,2024-03-01 12:20:18.089,Friday,Afternoon,12,card,ANON-0000-0000-0002,38.7,Hot Chocolate
2024-03-01,13:46:33.006000,2024-03-01 13:46:33.006,Friday,Afternoon,13,card,ANON-0000-0000-0003,28.9,Americano
2024-03-01,13:48:14.626000,2024-03-01 13:48:14.626,Friday,Afternoon,13,card,ANON-0000-0000-0004,38.7,Latte
2024-03-01,15:39:47.726000,2024-03-01 15:39:47.726,Friday,Afternoon,15,card,ANON-0000-0000-0005,33.8,Americano with Milk
2024-03-01,16:19:02.756000,2024-03-01 16:19:02.756,Friday,Afternoon,16,card,ANON-0000-0000-0006,38.7,Hot Chocolate
2024-03-01,18:39:03.580000,2024-03-01 18:39:03.580,Friday,Evening,18,card,ANON-0000-0000-0007,33.8,Americano with Milk
2024-03-01,19:22:01.762000,2024-03-01 19:22:01.762,Friday,Evening,19,card,ANON-0000-0000-0008,38.7,Cocoa
2024-03-01,19:23:15.887000,2024-03-01 19:23:15.887,Friday,Evening,19,card,ANON-0000-0000-0008,33.8,Americano with Milk
2024-03-01,19:29:17.391000,2024-03-01 19:29:17.391,Friday,Evening,19,card,ANON-0000-0000-0009,33.8,Americano with Milk
2024-03-02,10:22:06.957000,2024-03-02 10:22:06.957,Saturday,Morning,10,card,ANON-0000-0000-0010,28.9,Americano
2024-03-02,10:30:35.668000,2024-03-02 10:30:35.668,Saturday,Morning,10,cash,Cash,40.0,Latte
2024-03-02,10:41:41.249000,2024-03-02 10:41:41.249,Saturday,Morning,10,card,ANON-0000-0000-0011,33.8,Americano with Milk
2024-03-02,11:59:45.484000,2024-03-02 11:59:45.484,Saturday,Morning,11,card,ANON-0000-0000-0012,33.8,Americano with Milk
2024-03-02,14:38:35.535000,2024-03-02 14:38:35.535,Saturday,Afternoon,14,card,ANON-0000-0000-0013,28.9,Americano
2024-03-02,16:37:24.475000,2024-03-02 16:37:24.475,Saturday,Afternoon,16,card,ANON-0000-0000-0014,33.8,Americano with Milk
2024-03-02,17:34:54.969000,2024-03-02 17:34:54.969,Saturday,Evening,17,card,ANON-0000-0000-0004,28.9,Americano
2024-03-03,10:10:43.981000,2024-03-03 10:10:43.981,Sunday,Morning,10,cash,Cash,40.0,Latte
2024-03-03,10:27:18.561000,2024-03-03 10:27:18.561,Sunday,Morning,10,card,ANON-0000-0000-0015,38.7,Latte
2024-03-03,11:33:56.118000,2024-03-03 11:33:56.118,Sunday,Morning,11,card,ANON-0000-0000-0016,28.9,Cortado
2024-03-03,12:26:56.098000,2024-03-03 12:26:56.098,Sunday,Afternoon,12,card,ANON-0000-0000-0012,28.9,Americano
2024-03-03,13:09:36.321000,2024-03-03 13:09:36.321,Sunday,Afternoon,13,card,ANON-0000-0000-0017,38.7,Hot Chocolate
2024-03-03,17:06:40.271000,2024-03-03 17:06:40.271,Sunday,Evening,17,card,ANON-0000-0000-0018,38.7,Cocoa
2024-03-03,17:08:45.895000,2024-03-03 17:08:45.895,Sunday,Evening,17,card,ANON-0000-0000-0019,28.9,Cortado
2024-03-03,18:03:23.369000,2024-03-03 18:03:23.369,Sunday,Evening,18,card,ANON-0000-0000-0020,33.8,Americano with Milk
2024-03-03,18:04:27.946000,2024-03-03 18:04:27.946,Sunday,Evening,18,card,ANON-0000-0000-0020,33.8,Americano with Milk
2024-03-03,18:08:04.959000,2024-03-03 18:08:04.959,Sunday,Evening,18,card,ANON-0000-0000-0020,38.7,Hot Chocolate
2024-03-04,10:03:51.994000,2024-03-04 10:03:51.994,Monday,Morning,10,card,ANON-0000-0000-0001,38.7,Latte
2024-03-04,10:54:50.958000,2024-03-04 10:54:50.958,Monday,Morning,10,card,ANON-0000-0000-0021,38.7,Latte
2024-03-04,11:05:16.184000,2024-03-04 11:05:16.184,Monday,Morning,11,card,ANON-0000-0000-0012,33.8,Americano with Milk
2024-03-04,14:04:37.734000,2024-03-04 14:04:37.734,Monday,Afternoon,14,card,ANON-0000-0000-0022,24.0,Espresso
2024-03-05,09:59:52.651000,2024-03-05 09:59:52.651,Tuesday,Morning,9,card,ANON-0000-0000-0001,38.7,Latte
2024-03-05,14:34:55.963000,2024-03-05 14:34:55.963,Tuesday,Afternoon,14,card,ANON-0000-0000-0023,38.7,Latte
2024-03-05,17:34:06.043000,2024-03-05 17:34:06.043,Tuesday,Evening,17,card,ANON-0000-0000-0024,38.7,Latte
2024-03-05,17:35:25.021000,2024-03-05 17:35:25.021,Tuesday,Evening,17,card,ANON-0000-0000-0025,38.7,Hot Chocolate
2024-03-05,17:36:28.571000,2024-03-05 17:36:28.571,Tuesday,Evening,17,card,ANON-0000-0000-0026,38.7,Cocoa
2024-03-05,17:37:13.659000,2024-03-05 17:37:13.659,Tuesday,Evening,17,card,ANON-0000-0000-0027,38.7,Hot Chocolate
2024-03-05,17:38:09.354000,2024-03-05 17:38:09.354,Tuesday,Evening,17,card,ANON-0000-0000-0009,38.7,Hot Chocolate
2024-03-05,17:56:15.776000,2024-03-05 17:56:15.776,Tuesday,Evening,17,card,ANON-0000-0000-0028,28.9,Cortado
2024-03-05,18:01:31.242000,2024-03-05 18:01:31.242,Tuesday,Evening,18,card,ANON-0000-0000-0028,38.7,Hot Chocolate
2024-03-06,12:30:27.089000,2024-03-06 12:30:27.089,Wednesday,Afternoon,12,cash,Cash,35.0,Americano with Milk
